pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,25020.0,,,1,,1,Deuce,Kaylan Bigun,Near,0.0,T,-18.83692038,274.5993438,1.0,T,-29.84159558,148.9101487,,37.37934164,-435.1690015,,,1.0,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/22/15,Division 1,Dual-Match,2,,Los Angeles Tennis Center,University of South California,Kaylan Bigun,Nathan Trouve,Left,Right,,Hard,,,,,1,,Nathan Trouve,Kaylan Bigun,,,,,,2nd Serve In,T,
0-0,0-0,0-0,,36320.0,,,1,,2,Deuce,Kaylan Bigun,Near,,,,,,,,,,-49.71454506,458.4693023,Crosscourt,Backhand,,,,,,,,,,25.26369204,-362.551121,,,,,,"Univeristy of California, Los Angeles",2/22/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,University of South California,Kaylan Bigun,Nathan Trouve,Left,Right,,Hard,,,1.0,,1,,Nathan Trouve,Nathan Trouve,1.0,,,,,,,Deep
0-0,0-0,0-0,,37349.0,,,1,,3,Deuce,Kaylan Bigun,Near,,,,,,,,,,34.83755468,-473.0113353,Crosscourt,Forehand,,,,,,,,,,-50.31261483,455.0,,,,,,"Univeristy of California, Los Angeles",2/22/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,University of South California,Kaylan Bigun,Nathan Trouve,Left,Right,,Hard,,1.0,,,1,,Nathan Trouve,Kaylan Bigun,1.0,,,,,,,
0-0,0-0,0-0,,38549.0,1.0,38549.0,1,,4,Deuce,Kaylan Bigun,Near,,,,,,,,,,-55.28407699,511.0994423,Crosscourt,Forehand,,,,,,,,,,74.75872157,-484.9034886,,,,,1.0,"Univeristy of California, Los Angeles",2/22/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,University of South California,Kaylan Bigun,Nathan Trouve,Left,Right,,Hard,,1.0,,,1,,Nathan Trouve,Nathan Trouve,,,,Kaylan Bigun,1,,,Long
15-0,0-0,0-0,1.0,57814.0,1.0,61681.0,2,,1,Ad,Kaylan Bigun,Near,1.0,Wide,149.0,201.0,,,,,1,,,,,,,,,,,,,,,,1.0,,,,,"Univeristy of California, Los Angeles",2/22/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,University of South California,Kaylan Bigun,Nathan Trouve,Left,Right,,Hard,,,,,1,,Nathan Trouve,Kaylan Bigun,,,,Kaylan Bigun,,1st Serve In,Wide,
30-0,0-0,0-0,1.0,61671.0,,,3,,1,Deuce,Kaylan Bigun,Near,1.0,T,-18.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/22/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,University of South California,Kaylan Bigun,Nathan Trouve,Left,Right,,Hard,,,,,1,,Nathan Trouve,Kaylan Bigun,,,,,,1st Serve In,T,
30-0,0-0,0-0,,81681.0,,,3,,2,Deuce,Kaylan Bigun,Near,,,,,,,,,,-48.0,480.0,Down the Line,Backhand,,,,,,,,,,-29.0,-204.0,,,,,,"Univeristy of California, Los Angeles",2/22/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,University of South California,Kaylan Bigun,Nathan Trouve,Left,Right,,Hard,,,,,1,,Nathan Trouve,Nathan Trouve,,1.0,,,,,,Short
30-0,0-0,0-0,,82877.0,,,3,,3,Deuce,Kaylan Bigun,Near,,,,,,,,,,14.0,-431.0,Down the Line,Forehand,,,,,,,,,,70.0,276.0,,,,,,"Univeristy of California, Los Angeles",2/22/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,University of South California,Kaylan Bigun,Nathan Trouve,Left,Right,,Hard,,,,,1,,Nathan Trouve,Kaylan Bigun,,1.0,,,,,,Short
30-0,0-0,0-0,,84155.0,,,3,,4,Ad,Kaylan Bigun,Near,,,,,,,,,,91.0,490.0,Crosscourt,Backhand,1.0,,,,,,,,,-80.0,-303.0,,,,,,"Univeristy of California, Los Angeles",2/22/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,University of South California,Kaylan Bigun,Nathan Trouve,Left,Right,,Hard,,,,,1,,Nathan Trouve,Nathan Trouve,,,,,,,,Short
30-0,0-0,0-0,,85964.0,,,3,,5,Ad,Kaylan Bigun,Near,,,,,,,,,,-96.0,-474.0,Crosscourt,Forehand,,,,,,,,,,99.0,315.0,,,,,,"Univeristy of California, Los Angeles",2/22/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,University of South California,Kaylan Bigun,Nathan Trouve,Left,Right,,Hard,,,,,1,,Nathan Trouve,Kaylan Bigun,,,,,,,,Short
