Event Name,Date,Player1,Player1 UTR,Player2,Player2 UTR,Score
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-26,Emon Van Loben Sels,13.59,Alexander Bernard,13.33,"7-6(5), 5-7, 6-3"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-26,Alexander Hoogmartens,13.0,Jack Anthrop,13.66,"7-5, 0-6, 6-4"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-26,Aidan Kim,13.75,Rudy Quan,13.67,"7-6(3), 6-2"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-26,Preston Stearns,13.08,Aadarsh Tripathi,12.94,"6-3, 2-6, 6-2"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-26,Kaylan Bigun,13.17,William Jansen,13.24,"6-2, 7-5"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-26,Bryce Nakashima Nakashima,13.31,Spencer Johnson,13.47,"6-2, 6-4"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-25,Kaylan Bigun,13.17,Max Sheldon,13.43,"6-4, 6-1"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-25,Giacomo Revelli,12.0,Vuk Radjenovic,12.69,"6-3, 6-4"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-25,Emon Van Loben Sels,13.59,Ozan Baris,13.83,"7-5, 3-2"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-25,Alexander Hoogmartens,13.0,Matthew Forbes,13.0,"3-6, 5-0"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-25,Rudy Quan,13.67,Aristotelis THANOS,13.61,"4-6, 3-1"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-25,Spencer Johnson,13.47,Mitchell Sheldon,12.61,"6-2, 6-3"
"Dual Match: University of Michigan vs University of California, Los Angeles",2025-04-24,Spencer Johnson,13.47,Alex Cairo,12.34,"6-1, 6-1"
"Dual Match: University of Michigan vs University of California, Los Angeles",2025-04-24,Kaylan Bigun,13.17,Patorn HANCHAIKUL,12.71,"6-3, 6-1"
"Dual Match: University of Michigan vs University of California, Los Angeles",2025-04-24,Bjorn Swenson,12.97,Emon Van Loben Sels,13.59,"6-4, 6-4"
"Dual Match: University of Michigan vs University of California, Los Angeles",2025-04-24,Alexander Hoogmartens,13.0,Nicholas Steiglehner,12.71,"2-6, 6-3, 2-2"
"Dual Match: University of Michigan vs University of California, Los Angeles",2025-04-24,Giacomo Revelli,12.0,Mert Oral,12.0,"6-4, 6-3"
"Dual Match: University of Michigan vs University of California, Los Angeles",2025-04-24,Rudy Quan,13.67,William Cooksey,12.0,"6-3, 5-6"
"Dual Match: University of California, Los Angeles vs University of Nebraska-Lincoln",2025-04-19,Roni Hietaranta,12.0,Spencer Johnson,13.47,"3-6, 6-4, 6-6(4)"
"Dual Match: University of California, Los Angeles vs University of Nebraska-Lincoln",2025-04-19,Alexander Hoogmartens,13.0,Lars Johann,12.81,"6-4, 6-4"
"Dual Match: University of California, Los Angeles vs University of Nebraska-Lincoln",2025-04-19,Kaylan Bigun,13.17,Nikolay Sysoev,12.0,"6-7(7), 6-1, 7-6(6)"
"Dual Match: University of California, Los Angeles vs University of Nebraska-Lincoln",2025-04-19,Anton Shepp,12.85,Emon Van Loben Sels,13.59,"3-6, 6-3, 6-4"
"Dual Match: University of California, Los Angeles vs University of Nebraska-Lincoln",2025-04-19,Leonardo López Linquet,12.0,Aadarsh Tripathi,12.94,"6-3, 4-6, 6-5"
"Dual Match: University of California, Los Angeles vs University of Nebraska-Lincoln",2025-04-19,Rudy Quan,13.67,Calvin MUELLER,13.0,"3-6, 6-3, 6-1"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-17,Alexander Hoogmartens,13.0,Tomáš Zlatohlávek,11.0,"6-1, 6-1"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-17,Michael Minasyan,12.0,Rudy Quan,13.67,"2-6, 6-3"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-17,Matthew Fullerton,12.0,Spencer Johnson,13.47,"6-1, 5-5"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-17,Sachiv Kumar,12.0,Aadarsh Tripathi,12.94,7-6(9)
