pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Kaylan Bigun,Nathan Trouve,0-0,0-0,0-0,,Deuce,Kaylan Bigun,Nathan Trouve,"Univeristy of California, Los Angeles",University of South California,25020.0,38549.0,13529.0,4,1-4,0,1,2nd Serve In,T,T,T,False,Near,,,-18.83692038,274.5993438,-29.84159558,148.9101487,Crosscourt,Backhand,Long,,Crosscourt,Forehand,Nathan Trouve,Error,Kaylan Bigun,,False,,,1,0,0,0,0,0,0,,,1,2nd Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Crosscourt,Forehand,Error,0.0,1.0,0.0,0.0,"Set 1: 0-0, 0-0 Kaylan Bigun Serving"
2,Kaylan Bigun,Nathan Trouve,15-0,0-0,0-0,,Ad,Kaylan Bigun,Nathan Trouve,"Univeristy of California, Los Angeles",University of South California,57814.0,61681.0,3867.0,1,1-4,1,0,1st Serve In,Wide,Wide,,True,Near,,,149.0,201.0,,,,,,,,,Kaylan Bigun,,Kaylan Bigun,0.0,False,,,1,0,0,0,0,15,0,,,1,Ace,Ad: Wide,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 15-0 Kaylan Bigun Serving"
3,Kaylan Bigun,Nathan Trouve,30-0,0-0,0-0,,Deuce,Kaylan Bigun,Nathan Trouve,"Univeristy of California, Los Angeles",University of South California,61671.0,90130.0,28459.0,6,5-8,1,0,1st Serve In,T,T,,False,Near,,,-18.0,212.0,,,Down the Line,Backhand,Long,,Crosscourt,Backhand,Nathan Trouve,Error,Kaylan Bigun,0.0,False,,,1,0,0,0,0,30,0,,,1,1st Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Crosscourt,Backhand,Error,0.0,0.0,2.0,2.0,"Set 1: 0-0, 30-0 Kaylan Bigun Serving"
4,Kaylan Bigun,Nathan Trouve,40-0,0-0,0-0,,Ad,Kaylan Bigun,Nathan Trouve,"Univeristy of California, Los Angeles",University of South California,104949.0,105620.0,671.0,2,1-4,0,0,Double Fault,Body,,Body,False,Near,,,,,87.42819335,296.7830435,Crosscourt,Forehand,Wide Right,Wide Right,Crosscourt,Forehand,Nathan Trouve,Error,Kaylan Bigun,0.0,False,,,1,0,0,0,0,40,0,,,1,Double Fault,Ad: Body,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 40-0 Kaylan Bigun Serving"
5,Kaylan Bigun,Nathan Trouve,0-0,1-0,0-0,,Deuce,Nathan Trouve,Kaylan Bigun,"Univeristy of California, Los Angeles",University of South California,156149.0,158580.0,2431.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-131.5700295,204.7052548,,,Down the Line,Backhand,Wide Right,,Crosscourt,Forehand,Nathan Trouve,Error,Kaylan Bigun,0.0,False,,,1,0,0,1,0,0,0,,,2,,,Down the Line,Backhand,,,,1st Serve In,Deuce: Wide,,,Crosscourt,Forehand,Error,0.0,0.0,1.0,0.0,"Set 1: 1-0, 0-0 Nathan Trouve Serving"
6,Kaylan Bigun,Nathan Trouve,0-15,1-0,0-0,,Ad,Nathan Trouve,Kaylan Bigun,"Univeristy of California, Los Angeles",University of South California,184279.0,196669.0,12390.0,4,1-4,0,1,2nd Serve In,T,Wide,T,False,Near,,,110.9419619,245.3416557,48.92708333,194.3081802,Down the Line,Backhand,Net,,Down the Line,Backhand,Kaylan Bigun,Error,Nathan Trouve,0.0,False,,,1,0,0,1,0,0,15,,,2,,,Down the Line,Backhand,Down the Line,Backhand,Error,2nd Serve In,Ad: T,,,,,,0.0,0.0,1.0,0.0,"Set 1: 1-0, 0-15 Nathan Trouve Serving"
7,Kaylan Bigun,Nathan Trouve,15-15,1-0,0-0,,Deuce,Nathan Trouve,Kaylan Bigun,"Univeristy of California, Los Angeles",University of South California,221880.0,222669.0,789.0,2,1-4,0,0,Double Fault,T,,T,False,Near,,,,,-44.91842738,365.1583607,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Kaylan Bigun,Error,Nathan Trouve,0.0,False,,,1,0,0,1,0,15,15,,,2,,,Down the Line,Forehand,Down the Line,Forehand,Error,Double Fault,Deuce: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 15-15 Nathan Trouve Serving"
8,Kaylan Bigun,Nathan Trouve,30-15,1-0,0-0,,Ad,Nathan Trouve,Kaylan Bigun,"Univeristy of California, Los Angeles",University of South California,241380.0,,,1,1-4,0,0,Double Fault,Body,T,Body,False,Near,,,-21.99775262,-202.6930993,80.29923994,285.5220691,,,Net,,,,Nathan Trouve,,Kaylan Bigun,0.0,False,,,1,0,0,1,0,30,15,,,2,,,,,,,,Double Fault,Ad: Body,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 30-15 Nathan Trouve Serving"
9,Kaylan Bigun,Nathan Trouve,30-30,1-0,0-0,,Deuce,Nathan Trouve,Kaylan Bigun,"Univeristy of California, Los Angeles",University of South California,269149.0,282019.0,12870.0,11,9-12,1,0,1st Serve In,T,T,,False,Near,,,-50.70632655,242.0953521,,,Down the Line,Forehand,Wide Right,,Crosscourt,Backhand,Nathan Trouve,Error,Kaylan Bigun,0.0,False,,,1,0,0,1,0,30,30,,,2,,,Down the Line,Forehand,,,,1st Serve In,Deuce: T,,,Crosscourt,Backhand,Error,3.0,1.0,2.0,3.0,"Set 1: 1-0, 30-30 Nathan Trouve Serving"
10,Kaylan Bigun,Nathan Trouve,30-40,1-0,0-0,,Ad,Nathan Trouve,Kaylan Bigun,"Univeristy of California, Los Angeles",University of South California,299350.0,311119.0,11769.0,3,1-4,0,1,2nd Serve In,Wide,T,Wide,False,Near,,,-18.43099847,314.6113408,105.2585575,243.938785,Crosscourt,Forehand,Long,,Crosscourt,Forehand,Nathan Trouve,Error,Kaylan Bigun,0.0,True,,,1,0,0,1,0,30,40,,,2,,,Crosscourt,Forehand,,,,2nd Serve In,Ad: Wide,,,Crosscourt,Forehand,Error,1.0,0.0,0.0,0.0,"Set 1: 1-0, 30-40 Nathan Trouve Serving"
