URL,Match,Game Status_1,Game Status_2,Player_1,Player_2,Set 1_1,Set 1_2,Set 2_1,Set 2_2,Set 3_1,Set 3_2,Set 4_1,Set 4_2,Set 5_1,Set 5_2,Team_1,Team_2,Winning Team_1
https://uclabruins.com/api/v2/Stats/boxscore/33171,1,1,0,"Fangran, Tian",Snow Han,6,3,6,3,,,,,,,UCLA,USC,0
https://uclabruins.com/api/v2/Stats/boxscore/33171,2,0,1,"Hance, Kimmi",Emma Charney,3,6,6,3,3,6,,,,,UCLA,USC,0
https://uclabruins.com/api/v2/Stats/boxscore/33171,3,0,1,"Fernandez, Bianca",Grace Piper,2,6,4,6,,,,,,,UCLA,USC,0
https://uclabruins.com/api/v2/Stats/boxscore/33171,4,1,0,"Wagle, Elise",Eryn Cayetano,1,6,6,2,7,5,,,,,UCLA,USC,1
https://uclabruins.com/api/v2/Stats/boxscore/33171,5,0,0,"Lutkemeyer, Anne-Christine",McKenna Koenig,6,7,6,4,2,3,0,95,,,UCLA,USC,0
https://uclabruins.com/api/v2/Stats/boxscore/33171,6,1,0,"Guichard, Ahmani",Sloane Morra,6,2,7,5,,,,,,,UCLA,USC,0
https://uclabruins.com/api/v2/Stats/boxscore/33178,1,1,0,"Fangran, Tian",Valentina Ivanov,6,4,2,6,6,2,,,,,UCLA,California,0
https://uclabruins.com/api/v2/Stats/boxscore/33178,2,1,0,"Hance, Kimmi",H. Viller Moeller,7,6,6,3,,,,,,,UCLA,California,0
https://uclabruins.com/api/v2/Stats/boxscore/33178,3,0,1,"Fernandez, Bianca",Katja Wiersholm,4,6,7,5,3,6,,,,,UCLA,California,0
https://uclabruins.com/api/v2/Stats/boxscore/33178,4,0,1,"Lutkemeyer, Anne-Christine",Jessica Alsola,4,6,4,6,,,,,,,UCLA,California,0
https://uclabruins.com/api/v2/Stats/boxscore/33178,5,0,1,"Wagle, Elise",Mao Mushika,4,6,6,7,,,,,,,UCLA,California,0
https://uclabruins.com/api/v2/Stats/boxscore/33178,6,1,0,"Guichard, Ahmani",Lan Mi,7,6,3,6,6,1,,,,,UCLA,California,0
https://uclabruins.com/api/v2/Stats/boxscore/33262,1,1,0,"Fangran, Tian",Angelica Blake,6,0,6,4,,,,,,,UCLA,Stanford,0
https://uclabruins.com/api/v2/Stats/boxscore/33262,2,1,0,"Hance, Kimmi",Connie Ma,6,4,6,7,7,6,,,,,UCLA,Stanford,0
https://uclabruins.com/api/v2/Stats/boxscore/33262,3,0,1,"Fernandez, Bianca",Alexandra Yepifanova,6,2,1,6,0,6,,,,,UCLA,Stanford,0
https://uclabruins.com/api/v2/Stats/boxscore/33262,4,1,0,"Lutkemeyer, Anne-Christine",Alexis Blokhina,6,1,6,3,,,,,,,UCLA,Stanford,1
https://uclabruins.com/api/v2/Stats/boxscore/33262,5,0,1,"Wagle, Elise",Katherine Hui,5,7,4,6,,,,,,,UCLA,Stanford,0
https://uclabruins.com/api/v2/Stats/boxscore/33262,6,0,1,"Guichard, Ahmani",Valencia Xu,3,6,1,6,,,,,,,UCLA,Stanford,0
https://uclabruins.com/api/v2/Stats/boxscore/33263,1,1,0,"Fangran, Tian",Marcela Lopez,6,4,6,4,,,,,,,UCLA,Utah,0
