Event Name,Date,Player1,Player2,Player1 UTR,Player2 UTR,Score
"Dual Match: Texas A&M University vs University of California, Los Angeles",2025-05-08,Bianca Fernandez,Lexington Reed,9.66,10.39,"6-3, 6-3"
"Dual Match: Texas A&M University vs University of California, Los Angeles",2025-05-08,Kimmi Hance,Nicole KHIRIN,10.46,11.0,"6-2, 7-5"
"Dual Match: Texas A&M University vs University of California, Los Angeles",2025-05-08,Daria Smetannikov,Ahmani Guichard,10.0,9.0,"3-6, 5-5"
"Dual Match: Texas A&M University vs University of California, Los Angeles",2025-05-08,Lucciana Perez Alarcon,Kate Fakih,10.68,10.43,"7-6(3), 6-1"
"Dual Match: Texas A&M University vs University of California, Los Angeles",2025-05-08,Mia Kupres,Elise Wagle,10.86,10.0,"6-1, 6-4"
"Dual Match: Texas A&M University vs University of California, Los Angeles",2025-05-08,Mary Stoiana,Anne Christine Lutkemeyer Obregon,11.54,10.0,"6-0, 6-2"
"Dual Match: University of California, Los Angeles vs Vanderbilt University",2025-05-02,Amy Stevens,Olivia Center,9.0,9.95,"6-3, 6-2"
"Dual Match: University of California, Los Angeles vs Vanderbilt University",2025-05-02,Celia MOHR,Anne Christine Lutkemeyer Obregon,11.0,10.0,"6-4, 6-2"
"Dual Match: University of California, Los Angeles vs Vanderbilt University",2025-05-02,Kimmi Hance,Valeria Ray,10.46,10.0,"1-6, 7-6(6), 6-0"
"Dual Match: University of California, Los Angeles vs Vanderbilt University",2025-05-02,Trinetra Vijayakumar,Kate Fakih,10.0,10.43,"7-5, 6-4"
"Dual Match: University of California, Los Angeles vs Vanderbilt University",2025-05-02,Elise Wagle,Bridget Stammel,10.0,10.0,"6-3, 7-6(3)"
"Dual Match: University of California, Los Angeles vs Vanderbilt University",2025-05-02,Ahmani Guichard,Sophia Webster,9.0,9.86,"3-6, 6-3, 7-6(6)"
"Dual Match: Harvard University vs University of California, Los Angeles",2025-05-01,Ahmani Guichard,Maxi Duncan,9.0,9.0,"6-4, 2-4"
"Dual Match: Harvard University vs University of California, Los Angeles",2025-05-01,Elise Wagle,Charlotte Owensby,10.0,9.0,"6-1, 6-2"
"Dual Match: Harvard University vs University of California, Los Angeles",2025-05-01,Olivia Center,Kavya Karra,9.95,9.0,"4-6, 0-5"
"Dual Match: Harvard University vs University of California, Los Angeles",2025-05-01,Kate Fakih,Kate Kim,10.43,9.0,"7-5, 2-2"
"Dual Match: Harvard University vs University of California, Los Angeles",2025-05-01,Anne Lutkemeyer Obregon,Holly Fischer,10.0,10.0,"6-1, 6-2"
"Dual Match: Harvard University vs University of California, Los Angeles",2025-05-01,Kimmi Hance,Stephanie Yakoff,10.46,9.0,"6-1, 6-2"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-24,Piper Charney,Kimmi Hance,10.0,10.46,"6-3, 6-1"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-24,Elise Wagle,Elisabeth Jones,10.0,10.0,"6-4, 6-4"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-24,Emily LUNDE,Kate Fakih,10.71,10.43,"6-1, 4-6, 6-1"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-24,Jessica Bernales,Olivia Center,10.02,9.95,"4-6, 6-4, 3-4"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-24,Julia Fliegner,Anne Christine Lutkemeyer Obregon,11.0,10.0,"6-4, 3-6, 3-4"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-24,Reese Miller,Ahmani Guichard,10.0,9.0,"6-2, 6-1"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-23,Ariel Johnson,Kate Fakih,9.0,10.43,"6-2, 4-6, 4-4"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-23,Tianna Rangan,Ahmani Guichard,9.0,9.0,"6-2, 7-5"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-23,Maria Sholokhova,Anne Christine Lutkemeyer Obregon,11.06,10.0,"6-3, 5-7, 3-2"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-23,Olivia Center,Ellison Reynoldson,9.95,9.0,"6-3, 4-6, 6-2"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-23,Elise Wagle,Ekaterina Ivanova,10.0,9.99,"6-3, 6-3"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-23,Kimmi Hance,Taylor Cataldi,10.46,10.0,"6-0, 7-5"
"Dual Match: Rutgers University vs University of California, Los Angeles",2025-04-18,Karina Jumazhanova,Kate Fakih,9.0,10.43,"4-6, 4-5"
"Dual Match: Rutgers University vs University of California, Los Angeles",2025-04-18,Ahmani Guichard,Jackeline Lopez,9.0,9.0,"6-1, 6-3"
"Dual Match: Rutgers University vs University of California, Los Angeles",2025-04-18,Bianca Fernandez,Naomi Karki,9.66,8.0,"6-1, 6-2"
"Dual Match: Rutgers University vs University of California, Los Angeles",2025-04-18,Kimmi Hance,Mai Nguyen,10.46,9.0,"6-1, 6-0"
"Dual Match: Rutgers University vs University of California, Los Angeles",2025-04-18,Minchae Kim,Olivia Center,9.0,9.95,"3-6, 4-4"
"Dual Match: Rutgers University vs University of California, Los Angeles",2025-04-18,Elise Wagle,Zuzanna Frankowska,10.0,9.0,"6-2, 6-4"
"Dual Match: University of Maryland vs University of California, Los Angeles",2025-04-17,Anne Lutkemeyer Obregon,Kallista Liu,10.0,10.22,"6-1, 6-3"
"Dual Match: University of Maryland vs University of California, Los Angeles",2025-04-17,Elise Wagle,Danielle Hack,10.0,9.0,"6-3, 6-2"
"Dual Match: University of Maryland vs University of California, Los Angeles",2025-04-17,Ahmani Guichard,Diya Challa,9.0,9.0,"3-6, 3-5"
"Dual Match: University of Maryland vs University of California, Los Angeles",2025-04-17,Olivia Center,Aida Eissa,9.95,8.0,"4-6, 5-2"
"Dual Match: University of Maryland vs University of California, Los Angeles",2025-04-17,Kate Fakih,Oliwia Orlinska,10.43,9.0,"4-6, 4-2"
"Dual Match: University of Maryland vs University of California, Los Angeles",2025-04-17,Kimmi Hance,Ema Kovacevic,10.46,9.54,"6-1, 6-3"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-04-15,Jana Hossam Salah,Ahmani Guichard,10.0,9.0,"2-6, 6-3, 6-2"
