opponent_school,opponent,score,result,date
University of Texas at Austin,Jonah Braswell,6-7(7) 1-2,UF,05/15/25
University of Southern California,Connor Church,5-7 7-6(7) 4-6,L,05/08/25
The Ohio State University,Preston Stearns,3-6 6-2 2-6,L,04/26/25
University of Nebraska-Lincoln,Leonardo Lopez Linquet,3-6 6-4 5-6,UF,04/19/25
University of Wisconsin-Madison,Sachiv Kumar,6-7(9),UF,04/17/25
Michigan State University,Mitchell Sheldon,6-4 6-4,W,04/12/25
Ohio State University,Bryce Nakashima,5-7 3-4,UF,04/03/25
University of Southern California,Matteo Morazzi,7-5 2-6 6-1,W,03/31/25
University of Washington,Ivan Sodan,6-4 6-2,W,03/29/25
University of Oregon,Clement Lemire,4-6 4-3,UF,03/28/25
Northwestern University,Max Bengtsson,6-2 7-5,W,03/22/25
University of Illinois at Urbana-Champaign,Zachary Viiala,6-4 6-0,W,03/20/25
Indiana University,Braeden Gelletich,6-3 6-4,W,03/06/25
University of Southern California,Matteo Morazzi,3-6 6-1 4-6,L,02/21/25
Pepperdine University,Lasse Poertner,6-7(3) 6-7(5),L,02/15/25
