opponent_school,opponent,score,result,date
University of Southern California,Karl Lee,4-6 6-3 6-3,W,05/08/25
"University of California, Berkeley",Timofey Stepanov,7-6(7) 1-6 6-3,W,05/02/25
"University of California, Santa Barbara",Diogo Morais,4-6 6-3 1-2,UF,05/01/25
The Ohio State University,Jack Anthrop,7-5 0-6 6-4,W,04/26/25
Michigan State University,Matthew Forbes,3-6 5-0,UF,04/25/25
University of Michigan,Nicholas Steiglehner,2-6 6-3 2-2,UF,04/24/25
University of Nebraska-Lincoln,Lars Johann,6-4 6-4,W,04/19/25
University of Wisconsin-Madison,Tomas Zlatohlavek,6-1 6-1,W,04/17/25
Michigan State University,Vuk Radjenovic,3-6 6-1 6-1,W,04/12/25
University of Michigan,Nicholas Steiglehner,6-4 6-3,W,04/10/25
Pennsylvania State University,Reiya Hattori,6-2 6-3,W,04/05/25
Ohio State University,Jack Anthrop,1-6 3-6,L,04/03/25
University of Southern California,Oscar Weightman,7-5 4-6 3-6,L,03/31/25
University of Washington,Nedim Suko,6-2 6-3,W,03/29/25
Northwestern University,Greyson Casey,7-5 3-4,UF,03/22/25
University of Illinois at Urbana-Champaign,Tyler Bowers,6-1 6-0,W,03/20/25
Purdue University,Stefan Simeunovic Oakville,7-5 6-1,W,03/08/25
Indiana University,Sam Scherer,7-6(3) 3-6 1-0(7),W,03/06/25
University of Southern California,Volodymyr Iakubenko,6-3 6-2,W,02/21/25
Pepperdine University,Aleksa Pisaric,7-6(3) 6-4,W,02/15/25
Stanford University,Henry Von Der Schulenburg,4-6 4-6,L,02/01/25
"University of California, Berkeley",Derrick Chen,6-3 6-1,W,01/31/25
University of Georgia,Oscar Pinto Sansano,6-1 7-5,W,01/25/25
Texas A&M University,Togan Tokac,6-4 6-3,W,01/24/25
University of San Diego,Adrien Berrut,5-7 4-6,L,01/19/25
"University of California, Irvine",Lawee Sherif,6-2 6-3,W,01/16/25
,Emon Van Loben Sels,4-6 1-6 2-6,L,11/19/24
,Emon Van Loben Sels,4-6 1-6 2-6,L,11/19/24
,Alexander Chang,4-6 4-6,L,11/19/24
,Nedim Suko,6-3 6-2,W,11/19/24
,Andy Nguyen,6-3 6-1,W,11/19/24
,Hiroki Sakagawa,6-7(4) 3-6,L,10/21/24
,Pelayo Rodriguez,6-1 6-3,W,10/21/24
,Wissam Abderrahman,6-4 1-6 6-3,W,09/28/24
,Max Sheldon,6-3 2-6 2-6,L,09/28/24
