opponent_school,opponent,score,result,date
University of Southern California,Karl Lee,4-6 6-3 6-3,W,05/08/25
"University of California, Berkeley",Timofey Stepanov,7-6(7) 1-6 6-3,W,05/02/25
"University of California, Santa Barbara",Diogo Morais,4-6 6-3 1-2,UF,05/01/25
The Ohio State University,Jack Anthrop,7-5 0-6 6-4,W,04/26/25
Michigan State University,Matthew Forbes,3-6 5-0,UF,04/25/25
University of Michigan,Nicholas Steiglehner,2-6 6-3 2-2,UF,04/24/25
University of Nebraska-Lincoln,Lars Johann,6-4 6-4,W,04/19/25
University of Wisconsin-Madison,Tomas Zlatohlavek,6-1 6-1,W,04/17/25
Michigan State University,Vuk Radjenovic,3-6 6-1 6-1,W,04/12/25
University of Michigan,Nicholas Steiglehner,6-4 6-3,W,04/10/25
Pennsylvania State University,Reiya Hattori,6-2 6-3,W,04/05/25
Ohio State University,Jack Anthrop,1-6 3-6,L,04/03/25
University of Southern California,Oscar Weightman,7-5 4-6 3-6,L,03/31/25
University of Washington,Nedim Suko,6-2 6-3,W,03/29/25
Northwestern University,Greyson Casey,7-5 3-4,UF,03/22/25
