opponent_school,opponent,score,result,date
University of Texas at Austin,Timo Legout,5-7 2-6,L,05/15/25
University of Southern California,Makk Peter,7-6(4) 3-6 3-3,UF,05/08/25
"University of California, Berkeley",Carl Overbeck,7-5 5-7 3-6,L,05/02/25
"University of California, Santa Barbara",Gianluca Brunkow,5-7 6-2 0-1,UF,05/01/25
The Ohio State University,Aidan Kim,6-7(3) 2-6,L,04/26/25
Michigan State University,Aristotelis Thanos,4-6 3-1,UF,04/25/25
University of Michigan,William Cooksey,6-3 5-6,UF,04/24/25
University of Nebraska-Lincoln,Calvin Mueller,3-6 6-3 6-1,W,04/19/25
University of Wisconsin-Madison,Michael Minasyan,6-2 3-6,UF,04/17/25
Michigan State University,Ozan Baris,6-1 6-2,W,04/12/25
University of Michigan,William Cooksey,6-3 6-3,W,04/10/25
Pennsylvania State University,Charl Morgan,6-3 6-3,W,04/05/25
Ohio State University,Alexander Bernard,6-7(5) 6-0,UF,04/03/25
The Ohio State University,Alexander Bernard,6-7(5) 6-0 1-3,UF,04/03/25
University of Southern California,Makk Peter,4-6 4-6,L,03/31/25
University of Washington,Cesar Bouchelaghem,6-4 4-4,UF,03/29/25
University of Oregon,Lenn Luemkemann,6-3 5-3,UF,03/28/25
Northwestern University,Saiprakash Goli,5-7 3-3,UF,03/22/25
University of Illinois at Urbana-Champaign,Kenta Miyoshi,6-7(5) 1-5,UF,03/20/25
Purdue University,Aleksa Krivokapic,4-6 6-3 1-0(3),W,03/08/25
Indiana University,Deacon Thomas,6-2 6-4,W,03/06/25
University of Southern California,Makk Peter,6-2 6-3,W,02/21/25
Pepperdine University,Edward Winter,6-4 0-6 2-6,L,02/15/25
"University of California, Berkeley",Carl Overbeck,7-6(7) 3-6 4-6,L,01/31/25
University of Georgia,Ryan Colby,6-2 6-3,W,01/25/25
Texas A&M University,Jerry Roddick,3-6 6-2 3-6,L,01/24/25
University of San Diego,Iiro Vasa,6-3 7-6(5),W,01/19/25
"University of California, Irvine",Andy Nguyen,6-4 6-3,W,01/16/25
,Jay Hara Friend,7-5 3-6 0-6,L,09/28/24
,Adit Sinha,7-5 6-0,W,09/28/24
,Aristotelis Thanos,6-3 7-5,W,09/28/24
,Youcef Rihane,6-4 6-2,W,09/28/24
